team,n_matches,possession_pct,pass_completion_pct,directness,verticality,cross_share,ppda_like,direct_press_share,press_duration_s,recovery_time_s,press_inside_share,macro_cluster,cluster,pc1,pc2,max_stage
Saudi Arabia,3,33.0,77.66666666666667,0.17603946857358269,0.1840046061576207,0.09660261765524925,1.7625854123369395,0.14173862729523948,1.5066666666666666,17.726666666666667,0.18680171334827292,1,3,-1.4476651381971206,-0.8672773679540076,1
Scotland,3,40.86666666666667,86.66666666666667,0.19871324510192104,0.18198711630427764,0.20887445887445888,2.216488157973863,0.1430217027323857,1.6933333333333334,23.436666666666667,0.19628850482643548,1,1,-2.7289299480845584,-1.2672491752951787,1
Senegal,4,49.35,88.0,0.1969815155263398,0.3006986365187603,0.13452551707040658,1.7870717497975188,0.15923362009288333,1.6724999999999999,17.0025,0.2231802232546282,0,0,1.4318541937392357,-0.34184866076233245,2
South Africa,4,45.625,84.5,0.18157357350478256,0.14407213542859762,0.14115378855944893,1.8249443300109611,0.15821485550496445,1.5025,18.2675,0.23089661269009096,0,3,-0.25892798923799104,-1.15286747210962,2
South Korea,3,56.166666666666664,89.0,0.15166387291224512,0.21090853418410316,0.1465980816569052,1.9829805159217198,0.15194838944925784,1.58,14.88,0.23404593042890917,0,3,1.247915550508159,-2.454349831746477,1
Spain,6,59.56666666666667,91.0,0.21885714888374766,0.32158087092205534,0.118362575521618,1.609063870555876,0.14925774439101683,1.6316666666666666,11.571666666666667,0.2023934112150608,0,0,3.071839770185395,0.6241899464723382,5
Sweden,4,43.325,82.0,0.19946975214326562,0.27517420485502375,0.14166884096536886,2.1236066454751947,0.17865613791507579,1.52,18.235,0.21395447192209238,1,3,-0.5060399391117066,0.39105837555212286,2
Switzerland,6,48.550000000000004,86.33333333333333,0.1998581757982263,0.24386917244051845,0.15623712742280196,1.7778441634362927,0.1834287465621358,1.6533333333333333,14.108333333333334,0.1981817280592899,0,0,0.9030941056976808,0.41812501777579847,4
Tunisia,3,35.53333333333333,80.0,0.19032715975710757,0.1923590692257894,0.18637966971300304,2.024037590628835,0.16646905272613605,1.5833333333333333,23.043333333333333,0.16133053937931985,1,1,-3.2319272735981905,-0.19510712728111054,1
Türkiye,3,57.70000000000001,86.0,0.2018458902115412,0.397809859721217,0.10843306191386869,1.8922908970993797,0.2648321157659682,1.5666666666666667,9.983333333333333,0.2674876293297346,0,2,4.676690643321277,2.2282105144384428,1
USA,5,51.739999999999995,86.4,0.19956421942822236,0.24497991460564092,0.14705116154879533,1.8305254711005527,0.20608261069787198,1.504,13.163999999999998,0.20607573769176013,0,2,1.3907915562426478,0.9867075137405303,3
Uruguay,3,50.53333333333333,85.33333333333333,0.20211933114038827,0.33950073132948394,0.17607317816595805,1.7404705226361277,0.17592369885363515,1.4866666666666666,13.4,0.24851585161804138,0,2,2.1478062387653374,1.6158498622928725,1
Uzbekistan,3,34.96666666666667,78.33333333333333,0.20092574864299426,0.20375606684257394,0.15517526455026454,1.7868760793862009,0.14927590028804602,1.6266666666666667,16.669999999999998,0.21933607087113452,1,1,-0.9917420698308729,0.3212761769140331,1
