match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside
52,24 June 2026 - Seattle Stadium - 12:00,Bosnia and Herzegovina,Qatar,home,48.7,8.7,3.0,0.77,14.0,5.0,521.0,461.0,88.0,99.0,8.0,92.0,25.0,29.0,248.0,41.0,43.0,59.0,113.8,1.46,14.56,126.0,43.0,135.0
52,24 June 2026 - Seattle Stadium - 12:00,Qatar,Bosnia and Herzegovina,away,42.6,8.7,1.0,1.17,9.0,3.0,457.0,388.0,85.0,90.0,14.0,94.0,18.0,13.0,264.0,37.0,42.0,55.0,110.0,1.57,21.05,112.0,36.0,171.0
53,24 June 2026 - Mexico City Stadium - 19:00,Czechia,Mexico,home,44.7,8.8,0.0,0.44,13.0,1.0,423.0,352.0,83.0,82.0,6.0,80.0,20.0,18.0,213.0,27.0,38.0,66.0,111.6,1.59,17.59,86.0,24.0,129.0
53,24 June 2026 - Mexico City Stadium - 19:00,Mexico,Czechia,away,46.5,8.8,3.0,2.1,11.0,5.0,394.0,340.0,86.0,71.0,5.0,109.0,14.0,14.0,233.0,23.0,35.0,51.0,114.7,1.54,15.17,130.0,50.0,134.0
54,24 June 2026 - Monterrey Stadium - 19:00,South Africa,South Korea,home,30.3,8.9,1.0,0.89,13.0,4.0,345.0,279.0,81.0,69.0,2.0,53.0,7.0,21.0,321.0,37.0,40.0,68.0,111.8,1.59,24.27,145.0,55.0,209.0
54,24 June 2026 - Monterrey Stadium - 19:00,South Korea,South Africa,away,60.9,8.9,0.0,0.74,8.0,3.0,718.0,657.0,92.0,114.0,20.0,187.0,39.0,15.0,199.0,27.0,28.0,63.0,111.0,1.58,14.27,75.0,35.0,112.0
55,25 June 2026 - Philadelphia Stadium - 16:00,Curaçao,Côte d'Ivoire,home,37.9,6.9,0.0,0.66,11.0,2.0,369.0,312.0,85.0,78.0,9.0,69.0,15.0,27.0,299.0,62.0,43.0,57.0,106.2,1.73,18.12,133.0,50.0,175.0
55,25 June 2026 - Philadelphia Stadium - 16:00,Côte d'Ivoire,Curaçao,away,55.2,6.9,2.0,0.93,7.0,3.0,644.0,574.0,89.0,116.0,9.0,131.0,18.0,26.0,201.0,43.0,44.0,65.0,106.4,1.96,16.68,72.0,33.0,103.0
56,25 June 2026 - New York/New Jersey Stadium - 16:00,Ecuador,Germany,home,39.2,9.6,2.0,1.29,7.0,3.0,389.0,325.0,84.0,61.0,7.0,93.0,14.0,24.0,299.0,58.0,49.0,66.0,109.8,1.44,18.12,153.0,45.0,171.0
56,25 June 2026 - New York/New Jersey Stadium - 16:00,Germany,Ecuador,away,51.2,9.6,1.0,0.74,11.0,3.0,612.0,537.0,88.0,114.0,4.0,146.0,16.0,25.0,231.0,41.0,51.0,85.0,114.5,1.72,15.87,98.0,38.0,135.0
57,25 June 2026 - Dallas Stadium - 18:00,Japan,Sweden,home,44.7,10.7,1.0,1.22,8.0,3.0,454.0,381.0,84.0,79.0,7.0,95.0,14.0,16.0,221.0,47.0,42.0,62.0,110.2,1.61,18.63,87.0,23.0,132.0
57,25 June 2026 - Dallas Stadium - 18:00,Sweden,Japan,away,44.6,10.7,1.0,0.56,11.0,5.0,410.0,330.0,80.0,72.0,3.0,111.0,16.0,18.0,201.0,26.0,37.0,74.0,111.1,1.49,17.98,109.0,34.0,117.0
58,25 June 2026 - Kansas City Stadium - 18:00,Tunisia,Netherlands,home,27.5,7.8,1.0,0.76,10.0,4.0,265.0,208.0,78.0,56.0,4.0,54.0,13.0,15.0,346.0,51.0,34.0,40.0,111.1,1.48,29.82,147.0,43.0,244.0
58,25 June 2026 - Kansas City Stadium - 18:00,Netherlands,Tunisia,away,64.6,7.8,3.0,1.79,20.0,7.0,668.0,619.0,93.0,115.0,16.0,233.0,27.0,25.0,173.0,32.0,34.0,61.0,106.8,1.75,12.56,71.0,35.0,84.0
59,25 June 2026 - Los Angeles Stadium - 19:00,Türkiye,USA,home,42.5,9.5,3.0,1.71,8.0,2.0,456.0,353.0,77.0,88.0,13.0,106.0,11.0,24.0,219.0,56.0,50.0,75.0,115.0,1.51,12.2,86.0,43.0,109.0
59,25 June 2026 - Los Angeles Stadium - 19:00,USA,Türkiye,away,48.0,9.5,2.0,1.78,18.0,7.0,495.0,424.0,86.0,91.0,14.0,111.0,20.0,19.0,267.0,50.0,47.0,61.0,127.6,1.72,14.66,117.0,44.0,154.0
60,25 June 2026 - San Francisco Bay Area Stadium - 19:00,Paraguay,Australia,home,42.2,11.6,0.0,0.29,7.0,2.0,418.0,345.0,83.0,49.0,3.0,62.0,7.0,18.0,284.0,62.0,51.0,64.0,113.1,1.37,12.42,125.0,43.0,180.0
60,25 June 2026 - San Francisco Bay Area Stadium - 19:00,Australia,Paraguay,away,46.2,11.6,0.0,0.7,12.0,5.0,526.0,446.0,85.0,86.0,4.0,109.0,13.0,30.0,210.0,33.0,43.0,93.0,116.4,1.46,13.1,97.0,33.0,119.0
61,26 June 2026 - Boston Stadium - 15:00,Norway,France,home,41.0,7.8,1.0,1.45,10.0,5.0,449.0,367.0,82.0,75.0,4.0,96.0,9.0,24.0,297.0,43.0,38.0,64.0,113.5,1.7,17.9,158.0,53.0,177.0
61,26 June 2026 - Boston Stadium - 15:00,France,Norway,away,51.2,7.8,4.0,1.05,18.0,9.0,549.0,492.0,90.0,98.0,21.0,184.0,16.0,28.0,234.0,45.0,43.0,68.0,109.1,1.46,12.7,97.0,45.0,128.0
62,26 June 2026 - Toronto Stadium - 15:00,Senegal,Iraq,home,58.6,10.7,5.0,2.7,27.0,11.0,585.0,523.0,89.0,107.0,17.0,240.0,29.0,40.0,162.0,23.0,38.0,71.0,111.9,1.83,9.02,72.0,31.0,93.0
62,26 June 2026 - Toronto Stadium - 15:00,Iraq,Senegal,away,30.7,10.7,0.0,0.21,6.0,1.0,280.0,200.0,71.0,52.0,4.0,41.0,5.0,17.0,259.0,48.0,43.0,53.0,104.7,1.56,18.07,118.0,34.0,164.0
63,26 June 2026 - Seattle Stadium - 20:00,Egypt,IR Iran,home,53.7,9.9,1.0,0.92,15.0,3.0,588.0,525.0,89.0,97.0,15.0,123.0,16.0,30.0,169.0,30.0,52.0,76.0,117.2,1.57,12.21,64.0,24.0,99.0
63,26 June 2026 - Seattle Stadium - 20:00,IR Iran,Egypt,away,36.4,9.9,1.0,2.24,13.0,3.0,359.0,280.0,78.0,73.0,5.0,87.0,11.0,21.0,278.0,45.0,43.0,78.0,118.8,1.65,16.49,139.0,40.0,150.0
64,26 June 2026 - BC Place Vancouver - 20:00,New Zealand,Belgium,home,40.5,9.4,1.0,0.3,6.0,2.0,450.0,379.0,84.0,82.0,5.0,77.0,13.0,17.0,321.0,51.0,32.0,50.0,117.6,1.75,19.02,122.0,37.0,204.0
64,26 June 2026 - BC Place Vancouver - 20:00,Belgium,New Zealand,away,50.1,9.4,5.0,3.99,35.0,10.0,530.0,475.0,90.0,118.0,18.0,203.0,25.0,38.0,249.0,32.0,44.0,82.0,119.8,1.4,16.28,127.0,32.0,153.0
65,26 June 2026 - Houston Stadium - 19:00,Cabo Verde,Saudi Arabia,home,48.0,10.2,0.0,1.37,15.0,2.0,465.0,402.0,86.0,113.0,12.0,133.0,21.0,36.0,206.0,34.0,53.0,83.0,115.5,1.49,12.18,78.0,25.0,126.0
65,26 June 2026 - Houston Stadium - 19:00,Saudi Arabia,Cabo Verde,away,41.9,10.2,0.0,0.35,7.0,3.0,455.0,370.0,81.0,76.0,11.0,95.0,12.0,21.0,304.0,66.0,42.0,67.0,113.9,1.67,13.5,156.0,50.0,171.0
66,26 June 2026 - Guadalajara Stadium - 18:00,Uruguay,Spain,home,33.4,9.5,0.0,0.22,5.0,1.0,305.0,241.0,79.0,68.0,15.0,94.0,18.0,24.0,390.0,64.0,53.0,67.0,113.8,1.44,16.65,211.0,65.0,231.0
66,26 June 2026 - Guadalajara Stadium - 18:00,Spain,Uruguay,away,57.1,9.5,1.0,1.12,6.0,1.0,637.0,570.0,89.0,134.0,10.0,89.0,15.0,37.0,215.0,35.0,49.0,65.0,111.2,1.66,12.93,75.0,30.0,134.0
67,27 June 2026 - New York/New Jersey Stadium - 17:00,Panama,England,home,33.1,9.2,0.0,0.72,13.0,2.0,306.0,231.0,75.0,84.0,5.0,48.0,10.0,22.0,283.0,55.0,55.0,57.0,111.3,1.47,17.39,128.0,46.0,176.0
67,27 June 2026 - New York/New Jersey Stadium - 17:00,England,Panama,away,57.7,9.2,2.0,1.61,17.0,6.0,562.0,500.0,89.0,114.0,30.0,177.0,29.0,25.0,228.0,46.0,44.0,72.0,115.2,1.74,8.71,93.0,39.0,136.0
68,27 June 2026 - Philadelphia Stadium - 17:00,Croatia,Ghana,home,50.8,6.1,2.0,0.48,8.0,4.0,538.0,487.0,91.0,84.0,8.0,82.0,15.0,27.0,189.0,30.0,32.0,52.0,110.5,1.47,18.7,80.0,39.0,99.0
68,27 June 2026 - Philadelphia Stadium - 17:00,Ghana,Croatia,away,43.1,6.1,1.0,0.75,6.0,1.0,466.0,411.0,88.0,50.0,5.0,60.0,11.0,27.0,271.0,36.0,40.0,47.0,106.4,1.67,22.44,144.0,31.0,179.0
69,27 June 2026 - Kansas City Stadium - 21:00,Algeria,Austria,home,60.7,5.3,3.0,1.54,12.0,5.0,775.0,723.0,93.0,96.0,7.0,137.0,4.0,26.0,218.0,30.0,39.0,47.0,105.2,1.61,16.78,100.0,37.0,134.0
69,27 June 2026 - Kansas City Stadium - 21:00,Austria,Algeria,away,33.9,5.3,3.0,1.06,10.0,3.0,405.0,355.0,88.0,70.0,10.0,93.0,13.0,10.0,305.0,40.0,24.0,56.0,113.3,1.45,28.58,151.0,46.0,189.0
70,27 June 2026 - Dallas Stadium - 21:00,Jordan,Argentina,home,27.7,4.7,1.0,0.96,5.0,1.0,300.0,239.0,80.0,66.0,11.0,61.0,9.0,30.0,471.0,48.0,37.0,44.0,110.6,1.48,32.94,233.0,81.0,275.0
70,27 June 2026 - Dallas Stadium - 21:00,Argentina,Jordan,away,67.6,4.7,3.0,2.52,13.0,4.0,824.0,762.0,92.0,130.0,8.0,144.0,10.0,25.0,184.0,39.0,42.0,48.0,105.9,1.76,9.99,73.0,27.0,112.0
71,27 June 2026 - Miami Stadium - 19:30,Colombia,Portugal,home,51.9,6.7,0.0,1.85,24.0,7.0,547.0,491.0,90.0,114.0,13.0,178.0,16.0,20.0,218.0,23.0,36.0,60.0,103.0,1.56,17.61,94.0,24.0,146.0
71,27 June 2026 - Miami Stadium - 19:30,Portugal,Colombia,away,41.4,6.7,0.0,0.97,13.0,2.0,456.0,421.0,92.0,99.0,12.0,121.0,14.0,32.0,303.0,29.0,37.0,38.0,104.0,1.58,26.33,144.0,39.0,181.0
72,27 June 2026 - Atlanta Stadium - 19:30,Congo DR,Uzbekistan,home,53.0,10.0,3.0,2.11,19.0,5.0,495.0,419.0,85.0,106.0,6.0,131.0,25.0,41.0,191.0,31.0,54.0,93.0,115.1,1.71,10.4,75.0,33.0,111.0
72,27 June 2026 - Atlanta Stadium - 19:30,Uzbekistan,Congo DR,away,37.0,10.0,1.0,0.16,3.0,1.0,378.0,283.0,75.0,80.0,5.0,90.0,15.0,16.0,342.0,62.0,54.0,74.0,115.8,1.58,13.59,132.0,46.0,222.0
73,28 June 2026 - Los Angeles Stadium - 12:00,South Africa,Canada,home,55.8,8.5,0.0,0.16,6.0,1.0,575.0,486.0,85.0,97.0,13.0,60.0,5.0,25.0,221.0,43.0,42.0,80.0,108.2,1.54,14.06,81.0,31.0,125.0
73,28 June 2026 - Los Angeles Stadium - 12:00,Canada,South Africa,away,35.6,8.5,1.0,1.33,12.0,7.0,390.0,314.0,81.0,80.0,7.0,112.0,14.0,29.0,344.0,62.0,49.0,82.0,117.0,1.42,20.95,162.0,39.0,221.0
74,29 June 2026 - Boston Stadium - 16:30,Germany,Paraguay,home,65.5,10.8,1.0,1.25,21.0,6.0,834.0,752.0,90.0,161.0,10.0,344.0,52.0,46.0,164.0,32.0,45.0,118.0,152.4,1.67,8.48,63.0,34.0,82.0
74,29 June 2026 - Boston Stadium - 16:30,Paraguay,Germany,away,23.7,10.8,1.0,0.61,7.0,3.0,264.0,166.0,63.0,51.0,6.0,69.0,20.0,28.0,410.0,69.0,59.0,71.0,143.8,1.55,20.11,176.0,56.0,296.0
75,29 June 2026 - Monterrey Stadium - 19:00,Netherlands,Morocco,home,31.1,7.5,1.0,0.33,6.0,2.0,395.0,307.0,78.0,62.0,4.0,68.0,10.0,19.0,340.0,43.0,51.0,79.0,137.6,1.37,23.91,190.0,48.0,209.0
75,29 June 2026 - Monterrey Stadium - 19:00,Morocco,Netherlands,away,61.4,7.5,1.0,1.3,11.0,5.0,891.0,813.0,91.0,94.0,10.0,167.0,19.0,26.0,244.0,64.0,52.0,75.0,139.5,1.77,10.62,108.0,40.0,139.0
76,29 June 2026 - Houston Stadium - 12:00,Brazil,Japan,home,61.6,8.2,2.0,2.12,19.0,7.0,715.0,652.0,91.0,118.0,14.0,250.0,30.0,23.0,200.0,35.0,40.0,74.0,110.0,1.72,16.93,88.0,40.0,115.0
76,29 June 2026 - Houston Stadium - 12:00,Japan,Brazil,away,30.3,8.2,1.0,0.26,5.0,2.0,330.0,279.0,85.0,72.0,5.0,81.0,12.0,12.0,362.0,48.0,34.0,47.0,114.9,1.71,25.97,201.0,51.0,233.0
77,30 June 2026 - New York/New Jersey Stadium - 17:00,France,Sweden,home,53.5,8.4,3.0,2.9,25.0,12.0,548.0,498.0,91.0,129.0,16.0,202.0,22.0,33.0,213.0,38.0,35.0,64.0,107.7,1.77,14.48,68.0,36.0,120.0
77,30 June 2026 - New York/New Jersey Stadium - 17:00,Sweden,France,away,38.0,8.4,0.0,0.71,8.0,3.0,365.0,296.0,81.0,71.0,6.0,99.0,11.0,16.0,258.0,42.0,34.0,56.0,107.3,1.37,20.78,127.0,34.0,166.0
78,30 June 2026 - Dallas Stadium - 12:00,Côte d'Ivoire,Norway,home,41.3,8.5,1.0,1.43,14.0,5.0,406.0,353.0,87.0,90.0,16.0,151.0,33.0,27.0,318.0,57.0,45.0,72.0,105.8,1.79,17.38,134.0,52.0,206.0
78,30 June 2026 - Dallas Stadium - 12:00,Norway,Côte d'Ivoire,away,50.2,8.5,2.0,2.3,9.0,4.0,492.0,442.0,90.0,103.0,5.0,126.0,15.0,36.0,216.0,42.0,31.0,51.0,114.5,1.73,14.88,80.0,27.0,138.0
79,30 June 2026 - Mexico City Stadium - 20:00,Mexico,Ecuador,home,37.1,10.0,2.0,1.86,15.0,3.0,317.0,259.0,82.0,76.0,10.0,83.0,10.0,15.0,215.0,37.0,33.0,50.0,113.3,1.57,15.37,86.0,29.0,116.0
79,30 June 2026 - Mexico City Stadium - 20:00,Ecuador,Mexico,away,52.9,10.0,0.0,0.47,7.0,1.0,420.0,353.0,84.0,69.0,7.0,112.0,27.0,23.0,191.0,37.0,35.0,59.0,105.0,1.44,11.73,76.0,25.0,111.0
80,01 July 2026 - Atlanta Stadium - 12:00,England,Congo DR,home,53.5,8.6,2.0,1.75,16.0,7.0,523.0,482.0,92.0,125.0,25.0,222.0,42.0,41.0,246.0,44.0,35.0,69.0,115.5,1.63,13.79,110.0,37.0,149.0
80,01 July 2026 - Atlanta Stadium - 12:00,Congo DR,England,away,37.9,8.6,1.0,0.64,7.0,2.0,392.0,326.0,83.0,91.0,9.0,75.0,16.0,31.0,336.0,60.0,36.0,48.0,114.0,1.79,22.49,132.0,49.0,220.0
81,01 July 2026 - San Francisco Bay Area Stadium - 17:00,USA,Bosnia and Herzegovina,home,44.0,8.4,2.0,0.8,8.0,2.0,425.0,362.0,85.0,82.0,14.0,88.0,19.0,31.0,206.0,38.0,43.0,62.0,117.0,1.5,16.22,98.0,30.0,126.0
81,01 July 2026 - San Francisco Bay Area Stadium - 17:00,Bosnia and Herzegovina,USA,away,47.7,8.4,0.0,0.21,10.0,3.0,459.0,381.0,83.0,52.0,5.0,81.0,12.0,16.0,208.0,33.0,32.0,57.0,117.1,1.57,8.84,95.0,28.0,132.0
82,01 July 2026 - Seattle Stadium - 13:00,Belgium,Senegal,home,48.3,8.8,3.0,1.74,19.0,5.0,695.0,607.0,87.0,109.0,12.0,161.0,27.0,26.0,351.0,44.0,45.0,93.0,160.5,1.69,15.69,180.0,53.0,241.0
82,01 July 2026 - Seattle Stadium - 13:00,Senegal,Belgium,away,42.9,8.8,2.0,2.09,19.0,5.0,638.0,555.0,87.0,137.0,16.0,181.0,27.0,33.0,352.0,62.0,52.0,70.0,152.9,1.69,22.67,126.0,50.0,218.0
83,02 July 2026 - Toronto Stadium - 19:00,Portugal,Croatia,home,55.3,7.0,2.0,1.91,15.0,3.0,588.0,538.0,91.0,90.0,7.0,134.0,21.0,32.0,257.0,38.0,42.0,56.0,116.6,1.76,13.13,119.0,30.0,169.0
83,02 July 2026 - Toronto Stadium - 19:00,Croatia,Portugal,away,37.8,7.0,1.0,1.17,13.0,6.0,386.0,330.0,85.0,70.0,7.0,85.0,21.0,30.0,291.0,43.0,35.0,61.0,118.1,1.68,21.25,138.0,49.0,171.0
84,02 July 2026 - Los Angeles Stadium - 12:00,Spain,Austria,home,59.2,7.5,3.0,2.25,23.0,10.0,643.0,589.0,92.0,142.0,14.0,188.0,25.0,42.0,203.0,29.0,51.0,68.0,112.4,1.57,12.09,106.0,35.0,124.0
84,02 July 2026 - Los Angeles Stadium - 12:00,Austria,Spain,away,33.3,7.5,0.0,0.25,5.0,0.0,360.0,291.0,81.0,71.0,5.0,52.0,14.0,17.0,410.0,77.0,41.0,56.0,110.5,1.4,20.78,160.0,60.0,259.0
85,02 July 2026 - BC Place Vancouver - 20:00,Switzerland,Algeria,home,40.7,7.9,2.0,1.9,11.0,5.0,451.0,371.0,82.0,88.0,10.0,86.0,18.0,37.0,283.0,51.0,56.0,69.0,115.4,1.76,15.51,111.0,36.0,179.0
85,02 July 2026 - BC Place Vancouver - 20:00,Algeria,Switzerland,away,51.5,7.9,0.0,0.73,8.0,2.0,571.0,491.0,86.0,107.0,9.0,109.0,7.0,36.0,266.0,37.0,47.0,70.0,113.2,1.51,14.14,126.0,57.0,144.0
86,03 July 2026 - Miami Stadium - 18:00,Argentina,Cabo Verde,home,59.2,6.6,3.0,2.73,22.0,12.0,862.0,800.0,93.0,152.0,24.0,262.0,19.0,33.0,289.0,51.0,51.0,77.0,140.6,1.63,15.22,143.0,44.0,167.0
86,03 July 2026 - Miami Stadium - 18:00,Cabo Verde,Argentina,away,34.1,6.6,2.0,0.52,16.0,5.0,491.0,425.0,87.0,100.0,5.0,100.0,19.0,29.0,415.0,49.0,45.0,69.0,141.2,1.49,25.06,189.0,73.0,246.0
87,03 July 2026 - Kansas City Stadium - 20:30,Colombia,Ghana,home,54.6,6.8,1.0,1.8,20.0,8.0,598.0,540.0,90.0,91.0,12.0,129.0,17.0,19.0,217.0,52.0,35.0,58.0,107.4,1.45,13.85,77.0,37.0,129.0
87,03 July 2026 - Kansas City Stadium - 20:30,Ghana,Colombia,away,38.6,6.8,0.0,0.26,8.0,0.0,390.0,329.0,84.0,77.0,3.0,74.0,15.0,29.0,297.0,37.0,36.0,72.0,105.6,1.5,22.46,130.0,51.0,164.0
88,03 July 2026 - Dallas Stadium - 13:00,Australia,Egypt,home,35.4,11.6,1.0,0.74,16.0,2.0,520.0,428.0,82.0,115.0,11.0,145.0,23.0,31.0,373.0,32.0,56.0,105.0,148.1,1.62,21.52,197.0,54.0,235.0
88,03 July 2026 - Dallas Stadium - 13:00,Egypt,Australia,away,53.0,11.6,1.0,1.23,14.0,4.0,729.0,638.0,88.0,113.0,20.0,176.0,22.0,23.0,304.0,56.0,42.0,74.0,142.4,1.41,17.86,112.0,59.0,184.0
89,04 July 2026 - Philadelphia Stadium - 17:00,Paraguay,France,home,22.5,10.8,0.0,0.13,5.0,0.0,191.0,108.0,57.0,37.0,3.0,22.0,6.0,13.0,268.0,56.0,40.0,65.0,104.4,1.63,20.48,104.0,35.0,166.0
89,04 July 2026 - Philadelphia Stadium - 17:00,France,Paraguay,away,66.7,10.8,1.0,1.93,15.0,5.0,587.0,526.0,90.0,103.0,10.0,241.0,20.0,36.0,95.0,23.0,37.0,75.0,104.8,1.94,8.01,29.0,14.0,41.0
90,04 July 2026 - Houston Stadium - 12:00,Canada,Morocco,home,37.5,11.8,0.0,0.68,10.0,3.0,368.0,282.0,77.0,79.0,12.0,120.0,27.0,21.0,273.0,57.0,48.0,80.0,116.2,1.55,13.99,128.0,34.0,173.0
90,04 July 2026 - Houston Stadium - 12:00,Morocco,Canada,away,50.7,11.8,3.0,0.85,5.0,4.0,499.0,420.0,84.0,72.0,9.0,44.0,6.0,29.0,189.0,41.0,46.0,68.0,108.8,1.61,10.41,68.0,28.0,108.0
91,05 July 2026 - New York/New Jersey Stadium - 16:00,Brazil,Norway,home,32.1,7.2,1.0,2.57,14.0,4.0,347.0,298.0,86.0,73.0,12.0,129.0,16.0,30.0,401.0,69.0,38.0,59.0,113.3,1.49,25.23,185.0,60.0,234.0
91,05 July 2026 - New York/New Jersey Stadium - 16:00,Norway,Brazil,away,60.7,7.2,2.0,1.41,9.0,5.0,683.0,627.0,92.0,125.0,7.0,178.0,17.0,28.0,185.0,23.0,28.0,68.0,120.5,1.53,16.03,75.0,36.0,110.0
92,05 July 2026 - Mexico City Stadium - 19:00,Mexico,England,home,59.4,9.1,2.0,2.01,20.0,5.0,485.0,448.0,92.0,103.0,8.0,206.0,49.0,20.0,182.0,52.0,33.0,62.0,112.0,1.58,14.56,67.0,19.0,109.0
92,05 July 2026 - Mexico City Stadium - 19:00,England,Mexico,away,31.5,9.1,3.0,2.12,6.0,5.0,254.0,204.0,80.0,53.0,9.0,43.0,8.0,17.0,243.0,36.0,28.0,48.0,106.7,1.55,22.28,124.0,28.0,167.0
93,06 July 2026 - Dallas Stadium - 14:00,Portugal,Spain,home,41.7,7.7,0.0,0.91,10.0,2.0,459.0,378.0,82.0,102.0,10.0,101.0,12.0,36.0,342.0,27.0,43.0,63.0,112.8,1.54,19.11,160.0,57.0,193.0
93,06 July 2026 - Dallas Stadium - 14:00,Spain,Portugal,away,50.6,7.7,1.0,1.72,15.0,6.0,548.0,490.0,89.0,143.0,16.0,144.0,18.0,29.0,294.0,45.0,55.0,57.0,115.4,1.78,13.75,113.0,50.0,180.0
94,06 July 2026 - Seattle Stadium - 17:00,USA,Belgium,home,51.2,8.7,1.0,0.33,7.0,2.0,553.0,483.0,87.0,126.0,14.0,123.0,13.0,28.0,232.0,39.0,41.0,68.0,119.2,1.59,13.19,93.0,41.0,146.0
94,06 July 2026 - Seattle Stadium - 17:00,Belgium,USA,away,40.0,8.7,4.0,1.99,15.0,7.0,423.0,340.0,80.0,79.0,7.0,94.0,19.0,26.0,295.0,57.0,48.0,90.0,117.9,1.55,16.96,143.0,43.0,166.0
95,07 July 2026 - Atlanta Stadium - 12:00,Argentina,Egypt,home,57.1,8.5,3.0,2.63,19.0,7.0,618.0,558.0,90.0,129.0,12.0,231.0,26.0,32.0,190.0,36.0,39.0,65.0,110.4,1.67,14.06,89.0,28.0,122.0
95,07 July 2026 - Atlanta Stadium - 12:00,Egypt,Argentina,away,34.4,8.5,2.0,0.76,5.0,2.0,382.0,316.0,83.0,80.0,4.0,54.0,8.0,35.0,380.0,39.0,27.0,39.0,115.9,1.68,21.27,177.0,62.0,218.0
96,07 July 2026 - BC Place Vancouver - 13:00,Switzerland,Colombia,home,48.3,7.4,0.0,0.58,7.0,2.0,641.0,561.0,88.0,126.0,13.0,123.0,16.0,26.0,316.0,60.0,49.0,68.0,140.7,1.68,13.64,139.0,48.0,172.0
96,07 July 2026 - BC Place Vancouver - 13:00,Colombia,Switzerland,away,44.3,7.4,0.0,0.97,15.0,3.0,562.0,462.0,82.0,120.0,4.0,89.0,17.0,21.0,338.0,53.0,52.0,82.0,136.9,1.42,16.57,158.0,71.0,184.0
97,09 July 2026 - Boston Stadium - 16:00,France,Morocco,home,46.5,6.9,2.0,3.52,22.0,8.0,497.0,450.0,91.0,104.0,9.0,163.0,13.0,43.0,263.0,31.0,38.0,51.0,108.6,1.48,18.42,117.0,38.0,171.0
97,09 July 2026 - Boston Stadium - 16:00,Morocco,France,away,46.6,6.9,0.0,0.16,5.0,1.0,539.0,469.0,87.0,76.0,6.0,92.0,16.0,32.0,286.0,42.0,36.0,54.0,108.3,1.67,16.01,129.0,45.0,164.0
98,10 July 2026 - Los Angeles Stadium - 12:00,Spain,Belgium,home,61.6,7.4,2.0,2.2,17.0,8.0,693.0,625.0,90.0,159.0,18.0,250.0,21.0,36.0,206.0,23.0,37.0,71.0,114.6,1.56,11.56,104.0,28.0,129.0
98,10 July 2026 - Los Angeles Stadium - 12:00,Belgium,Spain,away,31.0,7.4,1.0,0.34,5.0,2.0,320.0,254.0,79.0,80.0,9.0,54.0,12.0,27.0,339.0,37.0,40.0,50.0,116.2,1.44,20.03,172.0,49.0,211.0
99,11 July 2026 - Miami Stadium - 17:00,Norway,England,home,44.2,8.4,1.0,0.87,13.0,4.0,582.0,504.0,87.0,100.0,3.0,144.0,18.0,23.0,324.0,56.0,33.0,67.0,148.9,1.7,20.03,134.0,46.0,202.0
99,11 July 2026 - Miami Stadium - 17:00,England,Norway,away,47.4,8.4,2.0,1.64,14.0,7.0,653.0,593.0,91.0,121.0,15.0,174.0,21.0,40.0,304.0,51.0,42.0,58.0,140.8,1.9,18.08,149.0,41.0,187.0
