match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside
32,19 June 2026 - Seattle Stadium - 12:00,Australia,USA,away,30.3,13.7,0.0,0.31,5.0,2.0,308.0,238.0,77.0,71.0,11.0,89.0,20.0,31.0,262.0,40.0,40.0,70.0,112.8,1.56,15.89,132.0,32.0,152.0
33,20 June 2026 - Toronto Stadium - 16:00,Germany,Côte d'Ivoire,home,49.5,9.3,2.0,2.47,16.0,7.0,634.0,578.0,91.0,133.0,13.0,215.0,20.0,28.0,293.0,59.0,47.0,69.0,125.8,1.7,13.7,106.0,46.0,158.0
33,20 June 2026 - Toronto Stadium - 16:00,Côte d'Ivoire,Germany,away,41.2,9.3,1.0,1.27,9.0,2.0,449.0,387.0,86.0,92.0,9.0,92.0,12.0,50.0,316.0,57.0,43.0,60.0,113.1,1.46,19.38,165.0,53.0,161.0
34,20 June 2026 - Kansas City Stadium - 19:00,Ecuador,Curaçao,home,65.8,10.8,0.0,2.76,27.0,15.0,663.0,601.0,91.0,125.0,19.0,238.0,33.0,41.0,155.0,49.0,43.0,92.0,103.7,1.71,8.17,52.0,22.0,69.0
34,20 June 2026 - Kansas City Stadium - 19:00,Curaçao,Ecuador,away,23.4,10.8,0.0,0.63,10.0,3.0,237.0,167.0,70.0,59.0,1.0,50.0,1.0,31.0,345.0,50.0,35.0,60.0,106.1,1.55,20.39,154.0,52.0,209.0
35,20 June 2026 - Houston Stadium - 12:00,Netherlands,Sweden,home,48.2,8.5,5.0,2.25,10.0,7.0,447.0,398.0,89.0,96.0,14.0,97.0,19.0,25.0,232.0,38.0,47.0,54.0,108.4,1.52,14.95,105.0,38.0,121.0
35,20 June 2026 - Houston Stadium - 12:00,Sweden,Netherlands,away,43.3,8.5,1.0,1.3,16.0,8.0,438.0,377.0,86.0,100.0,12.0,118.0,23.0,20.0,228.0,38.0,37.0,53.0,110.1,1.72,19.18,107.0,42.0,123.0
36,20 June 2026 - Monterrey Stadium - 22:00,Tunisia,Japan,home,36.4,8.5,0.0,0.02,2.0,0.0,376.0,305.0,81.0,58.0,6.0,55.0,9.0,13.0,233.0,35.0,34.0,45.0,112.4,1.38,22.13,130.0,36.0,146.0
36,20 June 2026 - Monterrey Stadium - 22:00,Japan,Tunisia,away,55.1,8.5,4.0,1.36,10.0,4.0,593.0,535.0,90.0,85.0,10.0,119.0,12.0,17.0,219.0,50.0,35.0,52.0,112.2,1.56,13.74,98.0,23.0,132.0
37,21 June 2026 - Miami Stadium - 18:00,Uruguay,Cabo Verde,home,54.9,11.7,2.0,2.23,17.0,2.0,517.0,444.0,86.0,92.0,16.0,183.0,27.0,31.0,198.0,43.0,41.0,78.0,112.8,1.62,10.66,76.0,34.0,103.0
37,21 June 2026 - Miami Stadium - 18:00,Cabo Verde,Uruguay,away,33.4,11.7,2.0,0.54,12.0,4.0,293.0,218.0,74.0,62.0,2.0,47.0,8.0,29.0,233.0,39.0,46.0,61.0,107.4,1.55,14.43,95.0,30.0,162.0
38,21 June 2026 - Atlanta Stadium - 12:00,Spain,Saudi Arabia,home,63.2,6.9,4.0,3.2,22.0,8.0,743.0,688.0,93.0,159.0,18.0,259.0,28.0,25.0,214.0,30.0,44.0,87.0,115.5,1.49,9.49,125.0,30.0,127.0
38,21 June 2026 - Atlanta Stadium - 12:00,Saudi Arabia,Spain,away,30.0,6.9,0.0,0.11,3.0,2.0,389.0,309.0,79.0,77.0,7.0,63.0,4.0,19.0,413.0,34.0,42.0,54.0,115.0,1.38,20.44,195.0,64.0,266.0
39,21 June 2026 - Los Angeles Stadium - 12:00,Belgium,IR Iran,home,59.2,10.6,0.0,1.48,23.0,7.0,637.0,562.0,88.0,120.0,11.0,267.0,35.0,33.0,121.0,13.0,45.0,90.0,111.7,1.57,10.46,45.0,18.0,74.0
39,21 June 2026 - Los Angeles Stadium - 12:00,IR Iran,Belgium,away,30.2,10.6,0.0,0.48,7.0,3.0,275.0,201.0,73.0,40.0,3.0,46.0,11.0,9.0,343.0,49.0,43.0,59.0,112.6,1.51,18.47,141.0,52.0,202.0
40,21 June 2026 - BC Place Vancouver - 18:00,New Zealand,Egypt,home,39.4,10.3,1.0,0.71,11.0,5.0,437.0,355.0,81.0,85.0,4.0,80.0,13.0,23.0,289.0,47.0,39.0,76.0,118.5,1.78,16.03,115.0,33.0,200.0
40,21 June 2026 - BC Place Vancouver - 18:00,Egypt,New Zealand,away,50.3,10.3,3.0,2.1,19.0,7.0,544.0,486.0,89.0,110.0,9.0,167.0,20.0,17.0,249.0,45.0,51.0,72.0,118.3,1.6,12.91,126.0,49.0,133.0
41,22 June 2026 - New York/New Jersey Stadium - 20:00,Norway,Senegal,home,40.1,8.4,3.0,1.5,13.0,7.0,361.0,295.0,82.0,68.0,5.0,87.0,11.0,19.0,224.0,33.0,32.0,55.0,120.3,1.35,16.83,102.0,42.0,132.0
41,22 June 2026 - New York/New Jersey Stadium - 20:00,Senegal,Norway,away,51.4,8.4,2.0,2.05,16.0,4.0,504.0,447.0,89.0,99.0,12.0,181.0,23.0,27.0,233.0,41.0,36.0,74.0,111.2,1.75,17.16,112.0,40.0,126.0
42,22 June 2026 - Philadelphia Stadium - 17:00,France,Iraq,home,49.0,6.7,3.0,2.3,19.0,5.0,604.0,553.0,92.0,117.0,21.0,246.0,19.0,38.0,257.0,35.0,42.0,79.0,107.7,1.59,17.49,102.0,63.0,134.0
42,22 June 2026 - Philadelphia Stadium - 17:00,Iraq,France,away,44.3,6.7,0.0,0.7,4.0,0.0,502.0,431.0,86.0,89.0,6.0,50.0,10.0,26.0,304.0,43.0,37.0,55.0,112.1,1.9,20.34,117.0,46.0,207.0
43,22 June 2026 - Dallas Stadium - 12:00,Argentina,Austria,home,48.2,8.4,2.0,2.45,12.0,5.0,564.0,509.0,90.0,87.0,6.0,103.0,6.0,14.0,229.0,35.0,41.0,53.0,104.4,1.58,19.9,108.0,31.0,141.0
43,22 June 2026 - Dallas Stadium - 12:00,Austria,Argentina,away,43.5,8.4,0.0,0.63,6.0,1.0,475.0,416.0,88.0,91.0,13.0,146.0,18.0,18.0,299.0,48.0,31.0,65.0,107.8,1.41,22.73,144.0,53.0,189.0
44,22 June 2026 - San Francisco Bay Area Stadium - 20:00,Jordan,Algeria,home,27.7,10.1,1.0,0.38,8.0,4.0,270.0,201.0,74.0,71.0,12.0,49.0,7.0,29.0,355.0,76.0,47.0,67.0,117.5,1.68,17.74,159.0,54.0,222.0
44,22 June 2026 - San Francisco Bay Area Stadium - 20:00,Algeria,Jordan,away,62.2,10.1,2.0,2.05,17.0,8.0,661.0,590.0,89.0,99.0,19.0,182.0,20.0,39.0,199.0,48.0,55.0,85.0,116.3,1.65,9.12,69.0,20.0,117.0
45,23 June 2026 - Boston Stadium - 16:00,England,Ghana,home,72.4,7.6,0.0,1.78,19.0,3.0,652.0,605.0,93.0,106.0,16.0,218.0,32.0,31.0,105.0,39.0,25.0,65.0,108.3,1.67,7.92,25.0,21.0,59.0
45,23 June 2026 - Boston Stadium - 16:00,Ghana,England,away,20.0,7.6,0.0,0.34,2.0,0.0,179.0,128.0,72.0,36.0,6.0,24.0,5.0,11.0,298.0,50.0,31.0,32.0,105.9,1.75,22.47,166.0,48.0,175.0
46,23 June 2026 - Toronto Stadium - 19:00,Panama,Croatia,home,37.2,10.4,0.0,0.69,8.0,1.0,356.0,282.0,79.0,80.0,10.0,97.0,27.0,24.0,269.0,58.0,44.0,81.0,108.2,1.68,16.89,102.0,33.0,177.0
46,23 June 2026 - Toronto Stadium - 19:00,Croatia,Panama,away,52.5,10.4,1.0,0.82,6.0,2.0,518.0,445.0,86.0,75.0,16.0,96.0,18.0,19.0,236.0,51.0,47.0,65.0,110.0,1.48,13.19,102.0,39.0,133.0
