match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside,opp_passes,directness,verticality,cross_share,ppda_like,direct_press_share,press_inside_share
55,25 June 2026 - Philadelphia Stadium - 16:00,Curaçao,Côte d'Ivoire,home,37.9,6.9,0.0,0.66,11.0,2.0,369.0,312.0,85.0,78.0,9.0,69.0,15.0,27.0,299.0,62.0,43.0,57.0,106.2,1.73,18.12,133.0,50.0,175.0,644.0,0.21138211382113822,0.18699186991869918,0.21739130434782608,2.1538461538461537,0.20735785953177258,0.2222222222222222
55,25 June 2026 - Philadelphia Stadium - 16:00,Côte d'Ivoire,Curaçao,away,55.2,6.9,2.0,0.93,7.0,3.0,644.0,574.0,89.0,116.0,9.0,131.0,18.0,26.0,201.0,43.0,44.0,65.0,106.4,1.96,16.68,72.0,33.0,103.0,369.0,0.18012422360248448,0.20341614906832298,0.13740458015267176,1.835820895522388,0.21393034825870647,0.2426470588235294
56,25 June 2026 - New York/New Jersey Stadium - 16:00,Ecuador,Germany,home,39.2,9.6,2.0,1.29,7.0,3.0,389.0,325.0,84.0,61.0,7.0,93.0,14.0,24.0,299.0,58.0,49.0,66.0,109.8,1.44,18.12,153.0,45.0,171.0,612.0,0.15681233933161953,0.2390745501285347,0.15053763440860216,2.0468227424749164,0.1939799331103679,0.20833333333333334
56,25 June 2026 - New York/New Jersey Stadium - 16:00,Germany,Ecuador,away,51.2,9.6,1.0,0.74,11.0,3.0,612.0,537.0,88.0,114.0,4.0,146.0,16.0,25.0,231.0,41.0,51.0,85.0,114.5,1.72,15.87,98.0,38.0,135.0,389.0,0.18627450980392157,0.238562091503268,0.1095890410958904,1.683982683982684,0.1774891774891775,0.21965317919075145
57,25 June 2026 - Dallas Stadium - 18:00,Japan,Sweden,home,44.7,10.7,1.0,1.22,8.0,3.0,454.0,381.0,84.0,79.0,7.0,95.0,14.0,16.0,221.0,47.0,42.0,62.0,110.2,1.61,18.63,87.0,23.0,132.0,410.0,0.17400881057268722,0.2092511013215859,0.14736842105263157,1.8552036199095023,0.21266968325791855,0.14838709677419354
57,25 June 2026 - Dallas Stadium - 18:00,Sweden,Japan,away,44.6,10.7,1.0,0.56,11.0,5.0,410.0,330.0,80.0,72.0,3.0,111.0,16.0,18.0,201.0,26.0,37.0,74.0,111.1,1.49,17.98,109.0,34.0,117.0,454.0,0.17560975609756097,0.2707317073170732,0.14414414414414414,2.2587064676616917,0.12935323383084577,0.2251655629139073
58,25 June 2026 - Kansas City Stadium - 18:00,Tunisia,Netherlands,home,27.5,7.8,1.0,0.76,10.0,4.0,265.0,208.0,78.0,56.0,4.0,54.0,13.0,15.0,346.0,51.0,34.0,40.0,111.1,1.48,29.82,147.0,43.0,244.0,668.0,0.21132075471698114,0.2037735849056604,0.24074074074074073,1.930635838150289,0.14739884393063585,0.14982578397212543
58,25 June 2026 - Kansas City Stadium - 18:00,Netherlands,Tunisia,away,64.6,7.8,3.0,1.79,20.0,7.0,668.0,619.0,93.0,115.0,16.0,233.0,27.0,25.0,173.0,32.0,34.0,61.0,106.8,1.75,12.56,71.0,35.0,84.0,265.0,0.1721556886227545,0.34880239520958084,0.11587982832618025,1.5317919075144508,0.18497109826589594,0.29411764705882354
59,25 June 2026 - Los Angeles Stadium - 19:00,Türkiye,USA,home,42.5,9.5,3.0,1.71,8.0,2.0,456.0,353.0,77.0,88.0,13.0,106.0,11.0,24.0,219.0,56.0,50.0,75.0,115.0,1.51,12.2,86.0,43.0,109.0,495.0,0.19298245614035087,0.2324561403508772,0.10377358490566038,2.26027397260274,0.2557077625570776,0.28289473684210525
59,25 June 2026 - Los Angeles Stadium - 19:00,USA,Türkiye,away,48.0,9.5,2.0,1.78,18.0,7.0,495.0,424.0,86.0,91.0,14.0,111.0,20.0,19.0,267.0,50.0,47.0,61.0,127.6,1.72,14.66,117.0,44.0,154.0,456.0,0.18383838383838383,0.22424242424242424,0.18018018018018017,1.7078651685393258,0.18726591760299627,0.2222222222222222
